Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,World,WLD,..,6.13749808215689,6.02223426160229,6.05502835885375,6.02130218151037,5.92975977452957,5.76869150934996,5.59154161386144,6.60327852428065,6.06410483115419,5.26747711496939,5.1231609116419
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Brazil,BRA,..,10.894,6.76,8.54,11.58,12.79,12.33,11.94,13.7,13.16,9.23,7.776
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 03/28/2024,,,,,,,,,,,,,,,
