Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]"
Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),"SI.POV.DDAY","World","WLD","37.9","29.2","11.1","10.6","10.4","9.6","8.8","8.9","9.7","9.5","9",".."
Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),"SI.POV.DDAY","Brazil","BRA","24","..","3.3","3.9","4.7","5.3","5.3","5.4","2","5.8","3.5",".."
,"","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","",""
Data from database: World Development Indicators,"","","","","","","","","","","","","","",""
Last Updated: 03/28/2024,"","","","","","","","","","","","","","",""
